异常ID,传感器,传感器ID,类型,描述,检测时间,读数时间,温度,湿度,当前状态,处理人,处理原因,标注时间,是否回滚,回滚原因
a_mqirk3amd1,一号冷库,SENS-001,温度越下限,温度 4.12℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T15:55:00.000Z,4.12,56.9,已接受,回归测试员,第1条已接受,2026-06-18 00:30:32,否,
a_mqirk3ale3,一号冷库,SENS-001,温度越下限,温度 4.36℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T15:50:00.000Z,4.36,55.8,已接受,回归测试员,第2条已接受,2026-06-18 00:30:32,否,
a_mqirk3am8a,一号冷库,SENS-001,温度漂移,温度突变 3.79℃，超过阈值 2℃（前值 0.57℃）,2026-06-18 00:30:29,2025-05-07T15:50:00.000Z,4.36,55.8,已接受,回归测试员,第3条已接受,2026-06-18 00:30:32,否,
a_mqirk3al9f,一号冷库,SENS-001,温度越下限,温度 0.57℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T15:45:00.000Z,0.57,55.4,已接受,跨重启验证,跨重启验证：这条必须保留,2026-06-18 00:30:32,否,
a_mqirk3al7f,一号冷库,SENS-001,温度漂移,温度突变 3.93℃，超过阈值 2℃（前值 4.50℃）,2026-06-18 00:30:29,2025-05-07T15:45:00.000Z,0.57,55.4,待处理,,,,否,
a_mqirk3al57,一号冷库,SENS-001,温度越下限,温度 4.50℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T15:40:00.000Z,4.5,53.9,待处理,,,,否,
a_mqirk3ala1,一号冷库,SENS-001,温度漂移,温度突变 4.47℃，超过阈值 2℃（前值 8.97℃）,2026-06-18 00:30:29,2025-05-07T15:40:00.000Z,4.5,53.9,待处理,,,,否,
a_mqirk3ak0b,一号冷库,SENS-001,温度越下限,温度 8.97℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T15:35:00.000Z,8.97,55.6,待处理,,,,否,
a_mqirk3al74,一号冷库,SENS-001,温度漂移,温度突变 4.80℃，超过阈值 2℃（前值 4.17℃）,2026-06-18 00:30:29,2025-05-07T15:35:00.000Z,8.97,55.6,待处理,,,,否,
a_mqirk3akb6,一号冷库,SENS-001,温度越下限,温度 4.17℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T15:30:00.000Z,4.17,54.9,待处理,,,,否,
a_mqirk3akec,一号冷库,SENS-001,温度越下限,温度 4.52℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T15:25:00.000Z,4.52,55.9,待处理,,,,否,
a_mqirk3akff,一号冷库,SENS-001,温度越下限,温度 4.26℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T15:20:00.000Z,4.26,53.4,待处理,,,,否,
a_mqirk3aj4b,一号冷库,SENS-001,温度越下限,温度 4.32℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T15:15:00.000Z,4.32,53.9,待处理,,,,否,
a_mqirk3ajc6,一号冷库,SENS-001,温度越下限,温度 4.19℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T15:10:00.000Z,4.19,53.2,待处理,,,,否,
a_mqirk3aj8c,一号冷库,SENS-001,温度越下限,温度 4.76℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T15:05:00.000Z,4.76,53.8,待处理,,,,否,
a_mqirk3aife,一号冷库,SENS-001,温度越下限,温度 4.46℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T15:00:00.000Z,4.46,56.3,待处理,,,,否,
a_mqirk3ai8d,一号冷库,SENS-001,温度越下限,温度 4.84℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T14:55:00.000Z,4.84,53.5,待处理,,,,否,
a_mqirk3ai37,一号冷库,SENS-001,温度越下限,温度 4.54℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T14:50:00.000Z,4.54,55.5,待处理,,,,否,
a_mqirk3ai02,一号冷库,SENS-001,温度越下限,温度 4.33℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T14:45:00.000Z,4.33,56.9,待处理,,,,否,
a_mqirk3ah1f,一号冷库,SENS-001,温度越下限,温度 4.58℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T14:40:00.000Z,4.58,55.6,待处理,,,,否,
a_mqirk3aha3,一号冷库,SENS-001,温度越下限,温度 4.13℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T14:35:00.000Z,4.13,53.1,待处理,,,,否,
a_mqirk3aha8,一号冷库,SENS-001,温度越下限,温度 4.45℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T14:30:00.000Z,4.45,54.4,待处理,,,,否,
a_mqirk3ahf2,一号冷库,SENS-001,温度越下限,温度 4.76℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T14:25:00.000Z,4.76,54.1,待处理,,,,否,
a_mqirk3ag0d,一号冷库,SENS-001,温度越下限,温度 4.88℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T14:20:00.000Z,4.88,53.4,待处理,,,,否,
a_mqirk3ag75,一号冷库,SENS-001,温度越下限,温度 4.57℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T14:15:00.000Z,4.57,55.4,待处理,,,,否,
a_mqirk3agb7,一号冷库,SENS-001,温度越下限,温度 4.32℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T14:10:00.000Z,4.32,55.7,待处理,,,,否,
a_mqirk3age5,一号冷库,SENS-001,湿度漂移,湿度突变 19.10%，超过阈值 10%（前值 36.60%）,2026-06-18 00:30:29,2025-05-07T14:10:00.000Z,4.32,55.7,待处理,,,,否,
a_mqirk3ageb,一号冷库,SENS-001,温度越下限,温度 4.42℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T14:05:00.000Z,4.42,36.6,待处理,,,,否,
a_mqirk3ag89,一号冷库,SENS-001,湿度漂移,湿度突变 18.00%，超过阈值 10%（前值 54.60%）,2026-06-18 00:30:29,2025-05-07T14:05:00.000Z,4.42,36.6,待处理,,,,否,
a_mqirk3af7a,一号冷库,SENS-001,温度越下限,温度 4.51℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T14:00:00.000Z,4.51,54.6,待处理,,,,否,
a_mqirk3af70,一号冷库,SENS-001,温度越下限,温度 4.80℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T13:55:00.000Z,4.8,55.4,待处理,,,,否,
a_mqirk3af32,一号冷库,SENS-001,温度越下限,温度 4.43℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T13:50:00.000Z,4.43,56.2,待处理,,,,否,
a_mqirk3afc6,一号冷库,SENS-001,温度越下限,温度 4.46℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T13:45:00.000Z,4.46,55.1,待处理,,,,否,
a_mqirk3afb4,一号冷库,SENS-001,湿度漂移,湿度突变 18.10%，超过阈值 10%（前值 37.00%）,2026-06-18 00:30:29,2025-05-07T13:45:00.000Z,4.46,55.1,待处理,,,,否,
a_mqirk3aea7,一号冷库,SENS-001,温度越下限,温度 4.84℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T13:40:00.000Z,4.84,37,待处理,,,,否,
a_mqirk3af62,一号冷库,SENS-001,湿度漂移,湿度突变 16.10%，超过阈值 10%（前值 53.10%）,2026-06-18 00:30:29,2025-05-07T13:40:00.000Z,4.84,37,待处理,,,,否,
a_mqirk3ae20,一号冷库,SENS-001,温度越下限,温度 4.35℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T13:35:00.000Z,4.35,53.1,待处理,,,,否,
a_mqirk3ae28,一号冷库,SENS-001,温度越下限,温度 4.22℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T13:30:00.000Z,4.22,55.6,待处理,,,,否,
a_mqirk3ae8b,一号冷库,SENS-001,温度越下限,温度 4.33℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T13:25:00.000Z,4.33,55.2,待处理,,,,否,
a_mqirk3ae4b,一号冷库,SENS-001,温度越下限,温度 4.69℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T13:20:00.000Z,4.69,54.5,待处理,,,,否,
a_mqirk3aef8,一号冷库,SENS-001,温度越下限,温度 4.33℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T13:15:00.000Z,4.33,54.7,待处理,,,,否,
a_mqirk3ad2c,一号冷库,SENS-001,温度越下限,温度 4.61℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T13:10:00.000Z,4.61,55,待处理,,,,否,
a_mqirk3ad9d,一号冷库,SENS-001,温度越下限,温度 4.41℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T13:05:00.000Z,4.41,54.9,待处理,,,,否,
a_mqirk3ad04,一号冷库,SENS-001,温度越下限,温度 4.52℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T13:00:00.000Z,4.52,55.1,待处理,,,,否,
a_mqirk3adc4,一号冷库,SENS-001,温度越下限,温度 4.62℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T12:55:00.000Z,4.62,53,待处理,,,,否,
a_mqirk3ad6a,一号冷库,SENS-001,温度越下限,温度 4.84℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T12:50:00.000Z,4.84,53.1,待处理,,,,否,
a_mqirk3adae,一号冷库,SENS-001,温度越下限,温度 4.53℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T12:45:00.000Z,4.53,55.5,待处理,,,,否,
a_mqirk3ade1,一号冷库,SENS-001,温度漂移,温度突变 3.25℃，超过阈值 2℃（前值 7.78℃）,2026-06-18 00:30:29,2025-05-07T12:45:00.000Z,4.53,55.5,待处理,,,,否,
a_mqirk3ad81,一号冷库,SENS-001,温度越下限,温度 7.78℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T12:40:00.000Z,7.78,55.6,待处理,,,,否,
a_mqirk3ad87,一号冷库,SENS-001,温度漂移,温度突变 2.90℃，超过阈值 2℃（前值 4.88℃）,2026-06-18 00:30:29,2025-05-07T12:40:00.000Z,7.78,55.6,待处理,,,,否,
a_mqirk3acdf,一号冷库,SENS-001,温度越下限,温度 4.88℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T12:35:00.000Z,4.88,54.5,待处理,,,,否,
a_mqirk3aca9,一号冷库,SENS-001,温度漂移,温度突变 3.77℃，超过阈值 2℃（前值 8.65℃）,2026-06-18 00:30:29,2025-05-07T12:35:00.000Z,4.88,54.5,待处理,,,,否,
a_mqirk3ac2d,一号冷库,SENS-001,温度越下限,温度 8.65℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T12:30:00.000Z,8.65,54.3,待处理,,,,否,
a_mqirk3ac66,一号冷库,SENS-001,温度漂移,温度突变 4.20℃，超过阈值 2℃（前值 4.45℃）,2026-06-18 00:30:29,2025-05-07T12:30:00.000Z,8.65,54.3,待处理,,,,否,
a_mqirk3ac1e,一号冷库,SENS-001,温度越下限,温度 4.45℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T12:25:00.000Z,4.45,54.1,待处理,,,,否,
a_mqirk3ac5f,一号冷库,SENS-001,温度越下限,温度 4.47℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T12:20:00.000Z,4.47,55.1,待处理,,,,否,
a_mqirk3ac73,一号冷库,SENS-001,温度越下限,温度 4.83℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T12:15:00.000Z,4.83,54.2,待处理,,,,否,
a_mqirk3abe6,一号冷库,SENS-001,温度越下限,温度 4.50℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T12:10:00.000Z,4.5,54.8,待处理,,,,否,
a_mqirk3aba8,一号冷库,SENS-001,温度越下限,温度 4.76℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T12:05:00.000Z,4.76,56.3,待处理,,,,否,
a_mqirk3ab17,一号冷库,SENS-001,温度越下限,温度 4.79℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T12:00:00.000Z,4.79,55.5,待处理,,,,否,
a_mqirk3ab21,一号冷库,SENS-001,温度越下限,温度 4.28℃ 低于下限 15℃,2026-06-18 00:30:29,2025-05-07T11:55:00.000Z,4.28,53.7,待处理,,,,否,
