异常ID,传感器,传感器ID,类型,描述,检测时间,读数时间,温度,湿度,当前状态,处理人,处理原因,标注时间,是否回滚,回滚原因
a_mqiri52j3d,一号冷库,SENS-001,温度越下限,温度 4.12℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T15:55:00.000Z,4.12,56.9,已接受,回归测试员,第1条已接受,2026-06-18 00:29:01,否,
a_mqiri52i02,一号冷库,SENS-001,温度越下限,温度 4.36℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T15:50:00.000Z,4.36,55.8,已接受,回归测试员,第2条已接受,2026-06-18 00:29:01,否,
a_mqiri52i4a,一号冷库,SENS-001,温度漂移,温度突变 3.79℃，超过阈值 2℃（前值 0.57℃）,2026-06-18 00:28:58,2025-05-07T15:50:00.000Z,4.36,55.8,已接受,回归测试员,第3条已接受,2026-06-18 00:29:01,否,
a_mqiri52if5,一号冷库,SENS-001,温度越下限,温度 0.57℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T15:45:00.000Z,0.57,55.4,已接受,跨重启验证,跨重启验证：这条必须保留,2026-06-18 00:29:01,否,
a_mqiri52i4f,一号冷库,SENS-001,温度漂移,温度突变 3.93℃，超过阈值 2℃（前值 4.50℃）,2026-06-18 00:28:58,2025-05-07T15:45:00.000Z,0.57,55.4,待处理,,,,否,
a_mqiri52h43,一号冷库,SENS-001,温度越下限,温度 4.50℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T15:40:00.000Z,4.5,53.9,待处理,,,,否,
a_mqiri52h8c,一号冷库,SENS-001,温度漂移,温度突变 4.47℃，超过阈值 2℃（前值 8.97℃）,2026-06-18 00:28:58,2025-05-07T15:40:00.000Z,4.5,53.9,待处理,,,,否,
a_mqiri52h8b,一号冷库,SENS-001,温度越下限,温度 8.97℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T15:35:00.000Z,8.97,55.6,待处理,,,,否,
a_mqiri52hb7,一号冷库,SENS-001,温度漂移,温度突变 4.80℃，超过阈值 2℃（前值 4.17℃）,2026-06-18 00:28:58,2025-05-07T15:35:00.000Z,8.97,55.6,待处理,,,,否,
a_mqiri52hbb,一号冷库,SENS-001,温度越下限,温度 4.17℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T15:30:00.000Z,4.17,54.9,待处理,,,,否,
a_mqiri52ga4,一号冷库,SENS-001,温度越下限,温度 4.52℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T15:25:00.000Z,4.52,55.9,待处理,,,,否,
a_mqiri52g74,一号冷库,SENS-001,温度越下限,温度 4.26℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T15:20:00.000Z,4.26,53.4,待处理,,,,否,
a_mqiri52g74,一号冷库,SENS-001,温度越下限,温度 4.32℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T15:15:00.000Z,4.32,53.9,待处理,,,,否,
a_mqiri52gac,一号冷库,SENS-001,温度越下限,温度 4.19℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T15:10:00.000Z,4.19,53.2,待处理,,,,否,
a_mqiri52f27,一号冷库,SENS-001,温度越下限,温度 4.76℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T15:05:00.000Z,4.76,53.8,待处理,,,,否,
a_mqiri52ff7,一号冷库,SENS-001,温度越下限,温度 4.46℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T15:00:00.000Z,4.46,56.3,待处理,,,,否,
a_mqiri52f1e,一号冷库,SENS-001,温度越下限,温度 4.84℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T14:55:00.000Z,4.84,53.5,待处理,,,,否,
a_mqiri52f54,一号冷库,SENS-001,温度越下限,温度 4.54℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T14:50:00.000Z,4.54,55.5,待处理,,,,否,
a_mqiri52ef2,一号冷库,SENS-001,温度越下限,温度 4.33℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T14:45:00.000Z,4.33,56.9,待处理,,,,否,
a_mqiri52e87,一号冷库,SENS-001,温度越下限,温度 4.58℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T14:40:00.000Z,4.58,55.6,待处理,,,,否,
a_mqiri52e21,一号冷库,SENS-001,温度越下限,温度 4.13℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T14:35:00.000Z,4.13,53.1,待处理,,,,否,
a_mqiri52dce,一号冷库,SENS-001,温度越下限,温度 4.45℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T14:30:00.000Z,4.45,54.4,待处理,,,,否,
a_mqiri52cc8,一号冷库,SENS-001,温度越下限,温度 4.76℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T14:25:00.000Z,4.76,54.1,待处理,,,,否,
a_mqiri52cbd,一号冷库,SENS-001,温度越下限,温度 4.88℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T14:20:00.000Z,4.88,53.4,待处理,,,,否,
a_mqiri52c18,一号冷库,SENS-001,温度越下限,温度 4.57℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T14:15:00.000Z,4.57,55.4,待处理,,,,否,
a_mqiri52cb6,一号冷库,SENS-001,温度越下限,温度 4.32℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T14:10:00.000Z,4.32,55.7,待处理,,,,否,
a_mqiri52c78,一号冷库,SENS-001,湿度漂移,湿度突变 19.10%，超过阈值 10%（前值 36.60%）,2026-06-18 00:28:58,2025-05-07T14:10:00.000Z,4.32,55.7,待处理,,,,否,
a_mqiri52baf,一号冷库,SENS-001,温度越下限,温度 4.42℃ 低于下限 15℃,2026-06-18 00:28:58,2025-05-07T14:05:00.000Z,4.42,36.6,待处理,,,,否,
