异常ID,传感器,传感器ID,类型,描述,检测时间,读数时间,温度,湿度,当前状态,处理人,处理原因,标注时间,是否回滚,回滚原因
a_mqiq3catee,一号冷库,SENS-001,温度越下限,温度 4.12℃ 低于下限 15℃,2026-06-17 23:49:27,2025-05-07T15:55:00.000Z,4.12,56.9,已接受,回归测试员,第1条已接受,2026-06-17 23:49:30,否,
a_mqiq3cpy23,试剂保存室,SENS-002,温度越下限,温度 7.78℃ 低于下限 15℃,2026-06-17 23:49:28,2025-05-07T15:55:00.000Z,7.78,44.5,待处理,回归测试员,老链路回归：标注,2026-06-17 23:49:39,是,老链路回归：回滚
a_mqiq3dftd6,细胞培养箱,SENS-003,温度越上限,温度 37.09℃ 超过上限 30℃,2026-06-17 23:49:29,2025-05-07T15:55:00.000Z,37.09,93.7,待处理,,,,否,
a_mqiq3dft76,细胞培养箱,SENS-003,湿度越上限,湿度 93.70% 超过上限 70%,2026-06-17 23:49:29,2025-05-07T15:55:00.000Z,37.09,93.7,待处理,,,,否,
a_mqiq3cat09,一号冷库,SENS-001,温度越下限,温度 4.36℃ 低于下限 15℃,2026-06-17 23:49:27,2025-05-07T15:50:00.000Z,4.36,55.8,已接受,回归测试员,第2条已接受,2026-06-17 23:49:30,否,
a_mqiq3cat3c,一号冷库,SENS-001,温度漂移,温度突变 3.79℃，超过阈值 2℃（前值 0.57℃）,2026-06-17 23:49:27,2025-05-07T15:50:00.000Z,4.36,55.8,已接受,回归测试员,第3条已接受,2026-06-17 23:49:30,否,
a_mqiq3cpy1e,试剂保存室,SENS-002,温度越下限,温度 8.32℃ 低于下限 15℃,2026-06-17 23:49:28,2025-05-07T15:50:00.000Z,8.32,45.7,待处理,,,,否,
a_mqiq3cpy3f,试剂保存室,SENS-002,温度漂移,温度突变 4.75℃，超过阈值 2℃（前值 3.57℃）,2026-06-17 23:49:28,2025-05-07T15:50:00.000Z,8.32,45.7,待处理,,,,否,
a_mqiq3dftad,细胞培养箱,SENS-003,温度越上限,温度 37.06℃ 超过上限 30℃,2026-06-17 23:49:29,2025-05-07T15:50:00.000Z,37.06,100,待处理,,,,否,
a_mqiq3dft69,细胞培养箱,SENS-003,湿度越上限,湿度 100.00% 超过上限 70%,2026-06-17 23:49:29,2025-05-07T15:50:00.000Z,37.06,100,待处理,,,,否,
a_mqiq3di9b5,常温试剂柜,SENS-004,温度漂移,温度突变 4.54℃，超过阈值 2℃（前值 17.84℃）,2026-06-17 23:49:29,2025-05-07T15:50:00.000Z,22.38,38.1,待处理,,,,否,
a_mqiq3dkrc0,稳定性试验箱,SENS-005,湿度漂移,湿度突变 18.90%，超过阈值 10%（前值 42.00%）,2026-06-17 23:49:29,2025-05-07T15:50:00.000Z,24.69,60.9,待处理,,,,否,
a_mqiq3casfc,一号冷库,SENS-001,温度越下限,温度 0.57℃ 低于下限 15℃,2026-06-17 23:49:27,2025-05-07T15:45:00.000Z,0.57,55.4,已接受,跨重启验证,跨重启验证：这条必须保留,2026-06-17 23:49:31,否,
a_mqiq3cat39,一号冷库,SENS-001,温度漂移,温度突变 3.93℃，超过阈值 2℃（前值 4.50℃）,2026-06-17 23:49:27,2025-05-07T15:45:00.000Z,0.57,55.4,待处理,,,,否,
a_mqiq3cpy29,试剂保存室,SENS-002,温度越下限,温度 3.57℃ 低于下限 15℃,2026-06-17 23:49:28,2025-05-07T15:45:00.000Z,3.57,43.6,待处理,,,,否,
a_mqiq3cpya8,试剂保存室,SENS-002,温度漂移,温度突变 4.20℃，超过阈值 2℃（前值 7.77℃）,2026-06-17 23:49:28,2025-05-07T15:45:00.000Z,3.57,43.6,待处理,,,,否,
a_mqiq3dfs47,细胞培养箱,SENS-003,温度越上限,温度 36.96℃ 超过上限 30℃,2026-06-17 23:49:29,2025-05-07T15:45:00.000Z,36.96,94.8,待处理,,,,否,
a_mqiq3dft1c,细胞培养箱,SENS-003,湿度越上限,湿度 94.80% 超过上限 70%,2026-06-17 23:49:29,2025-05-07T15:45:00.000Z,36.96,94.8,待处理,,,,否,
a_mqiq3di9f6,常温试剂柜,SENS-004,温度漂移,温度突变 3.80℃，超过阈值 2℃（前值 21.64℃）,2026-06-17 23:49:29,2025-05-07T15:45:00.000Z,17.84,40.1,待处理,,,,否,
a_mqiq3dkrb6,稳定性试验箱,SENS-005,湿度漂移,湿度突变 18.20%，超过阈值 10%（前值 60.20%）,2026-06-17 23:49:29,2025-05-07T15:45:00.000Z,25.31,42,待处理,,,,否,
a_mqiq3cas1b,一号冷库,SENS-001,温度越下限,温度 4.50℃ 低于下限 15℃,2026-06-17 23:49:27,2025-05-07T15:40:00.000Z,4.5,53.9,待处理,,,,否,
a_mqiq3casb5,一号冷库,SENS-001,温度漂移,温度突变 4.47℃，超过阈值 2℃（前值 8.97℃）,2026-06-17 23:49:27,2025-05-07T15:40:00.000Z,4.5,53.9,待处理,,,,否,
a_mqiq3cpx83,试剂保存室,SENS-002,温度越下限,温度 7.77℃ 低于下限 15℃,2026-06-17 23:49:28,2025-05-07T15:40:00.000Z,7.77,43.5,待处理,,,,否,
a_mqiq3cpy80,试剂保存室,SENS-002,温度漂移,温度突变 4.13℃，超过阈值 2℃（前值 11.90℃）,2026-06-17 23:49:28,2025-05-07T15:40:00.000Z,7.77,43.5,待处理,,,,否,
a_mqiq3dfs10,细胞培养箱,SENS-003,温度越上限,温度 36.73℃ 超过上限 30℃,2026-06-17 23:49:29,2025-05-07T15:40:00.000Z,36.73,93,待处理,,,,否,
a_mqiq3dfs5f,细胞培养箱,SENS-003,湿度越上限,湿度 93.00% 超过上限 70%,2026-06-17 23:49:29,2025-05-07T15:40:00.000Z,36.73,93,待处理,,,,否,
a_mqiq3di854,常温试剂柜,SENS-004,温度漂移,温度突变 4.60℃，超过阈值 2℃（前值 26.24℃）,2026-06-17 23:49:29,2025-05-07T15:40:00.000Z,21.64,39.6,待处理,,,,否,
a_mqiq3cas75,一号冷库,SENS-001,温度越下限,温度 8.97℃ 低于下限 15℃,2026-06-17 23:49:27,2025-05-07T15:35:00.000Z,8.97,55.6,待处理,,,,否,
a_mqiq3cas7a,一号冷库,SENS-001,温度漂移,温度突变 4.80℃，超过阈值 2℃（前值 4.17℃）,2026-06-17 23:49:27,2025-05-07T15:35:00.000Z,8.97,55.6,待处理,,,,否,
a_mqiq3cpxa8,试剂保存室,SENS-002,温度越下限,温度 11.90℃ 低于下限 15℃,2026-06-17 23:49:28,2025-05-07T15:35:00.000Z,11.9,46.1,待处理,,,,否,
a_mqiq3cpx06,试剂保存室,SENS-002,温度漂移,温度突变 4.30℃，超过阈值 2℃（前值 7.60℃）,2026-06-17 23:49:28,2025-05-07T15:35:00.000Z,11.9,46.1,待处理,,,,否,
a_mqiq3dfsad,细胞培养箱,SENS-003,温度越上限,温度 36.64℃ 超过上限 30℃,2026-06-17 23:49:29,2025-05-07T15:35:00.000Z,36.64,96,待处理,,,,否,
a_mqiq3dfs85,细胞培养箱,SENS-003,湿度越上限,湿度 96.00% 超过上限 70%,2026-06-17 23:49:29,2025-05-07T15:35:00.000Z,36.64,96,待处理,,,,否,
a_mqiq3di8be,常温试剂柜,SENS-004,温度漂移,温度突变 4.39℃，超过阈值 2℃（前值 21.85℃）,2026-06-17 23:49:29,2025-05-07T15:35:00.000Z,26.24,40.2,待处理,,,,否,
a_mqiq3cas79,一号冷库,SENS-001,温度越下限,温度 4.17℃ 低于下限 15℃,2026-06-17 23:49:27,2025-05-07T15:30:00.000Z,4.17,54.9,待处理,,,,否,
a_mqiq3cpx77,试剂保存室,SENS-002,温度越下限,温度 7.60℃ 低于下限 15℃,2026-06-17 23:49:28,2025-05-07T15:30:00.000Z,7.6,43.5,待处理,,,,否,
a_mqiq3dfsdd,细胞培养箱,SENS-003,温度越上限,温度 36.63℃ 超过上限 30℃,2026-06-17 23:49:29,2025-05-07T15:30:00.000Z,36.63,94.4,待处理,,,,否,
a_mqiq3dfs70,细胞培养箱,SENS-003,湿度越上限,湿度 94.40% 超过上限 70%,2026-06-17 23:49:29,2025-05-07T15:30:00.000Z,36.63,94.4,待处理,,,,否,
a_mqiq3casd9,一号冷库,SENS-001,温度越下限,温度 4.52℃ 低于下限 15℃,2026-06-17 23:49:27,2025-05-07T15:25:00.000Z,4.52,55.9,待处理,,,,否,
a_mqiq3cpx17,试剂保存室,SENS-002,温度越下限,温度 8.17℃ 低于下限 15℃,2026-06-17 23:49:28,2025-05-07T15:25:00.000Z,8.17,45,待处理,,,,否,
a_mqiq3dfsf8,细胞培养箱,SENS-003,温度越上限,温度 37.08℃ 超过上限 30℃,2026-06-17 23:49:29,2025-05-07T15:25:00.000Z,37.08,94.1,待处理,,,,否,
a_mqiq3dfs36,细胞培养箱,SENS-003,湿度越上限,湿度 94.10% 超过上限 70%,2026-06-17 23:49:29,2025-05-07T15:25:00.000Z,37.08,94.1,待处理,,,,否,
